91a7fa30-4ece-43ca-9e17-e9d4255d0bbe 304 ::1 GET /call-logs 25.431 [Fri, 15 Oct 2021 13:46:56 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
7d087db2-f7d5-4a49-a320-5b3c46172008 304 ::1 GET /call-logs 21.448 [Fri, 15 Oct 2021 13:52:42 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
e84bde55-710b-4069-b3aa-67b67c438a80 200 ::1 POST /call-logs 101.457 [Fri, 15 Oct 2021 13:52:52 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
c3bd5f26-13ed-4a0b-8edb-205c6968fe39 500 ::1 GET /call-logs 19.423 [Fri, 15 Oct 2021 13:54:30 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
18d8d1a9-e8dd-41b2-9d6d-0821ec35ddec 200 ::1 GET /call-logs 18.023 [Fri, 15 Oct 2021 13:56:28 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
f415dfd8-4f12-40b1-98c6-3de2fb99557c 200 ::1 POST /call-logs 104.305 [Fri, 15 Oct 2021 13:56:40 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
48fb16c7-e368-412c-b6f0-3cebf8468c75 200 ::1 GET /call-logs 29.055 [Fri, 15 Oct 2021 14:01:33 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
a00d764b-de17-4411-ab74-4c70e056c711 200 ::1 POST /call-logs 2002.414 [Fri, 15 Oct 2021 14:01:45 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
46dda9fc-0586-4082-90b6-9f0187c9c946 200 ::1 POST /call-logs 3772.096 [Fri, 15 Oct 2021 14:03:00 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
23a1f81b-56bc-42de-9c36-60be2de97d60 200 ::1 GET /call-logs 59.047 [Fri, 15 Oct 2021 14:07:12 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
336c1307-d89f-4342-b39f-1d51636993dc 200 ::1 POST /call-logs 4564.730 [Fri, 15 Oct 2021 14:07:57 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
7212266b-843c-40f7-868b-0b0b57f46dca - ::1 POST /call-logs - [Fri, 15 Oct 2021 14:15:10 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
9cfe1789-237d-4bf9-bf2d-bb14b24a868b 200 ::1 GET /call-logs 35.261 [Fri, 15 Oct 2021 14:15:16 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
971a4e65-a5aa-4a1b-a5f8-459fa65ad866 200 ::1 POST /call-logs 12070.720 [Fri, 15 Oct 2021 14:15:53 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
eb38e946-7113-4669-bcbd-0c91e31527a7 200 ::1 GET /call-logs 33.022 [Fri, 15 Oct 2021 14:22:13 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
fc30f759-9bc5-4e1b-837e-d4f6458f3b0e 200 ::1 POST /call-logs 6978.018 [Fri, 15 Oct 2021 14:22:31 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
6dbddafc-47bb-40d0-b5f0-0ecf24757a4a 200 ::1 GET /imei 10.914 [Fri, 15 Oct 2021 14:29:17 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
c5481392-0f83-4c84-abc7-ff7740668d73 200 ::1 POST /imei-check 358.797 [Fri, 15 Oct 2021 14:30:22 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
b50d8808-adc4-4188-ae94-12c1e6f0a7c8 404 ::1 GET /imei-check 6.055 [Fri, 15 Oct 2021 14:33:16 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
9d283331-166d-4e4b-8e01-c9ad5174ca69 200 ::1 GET /imei-check 22.038 [Fri, 15 Oct 2021 14:34:45 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
