304 ::ffff:172.25.165.27 GET / 15.872 [Wed, 16 Nov 2022 11:17:32 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.165.27 GET / 13.754 [Wed, 16 Nov 2022 11:17:41 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.165.27 GET / 14.172 [Wed, 16 Nov 2022 11:17:49 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.165.96 GET / 23.260 [Wed, 16 Nov 2022 11:19:57 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.165.27 GET / 14.550 [Wed, 16 Nov 2022 11:25:04 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.165.27 GET / 15.163 [Wed, 16 Nov 2022 11:30:45 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.165.27 GET / 15.080 [Wed, 16 Nov 2022 11:34:56 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.165.27 GET / 15.841 [Wed, 16 Nov 2022 11:42:55 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::ffff:172.25.165.27 POST /login 138.961 [Wed, 16 Nov 2022 11:43:03 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.165.27 GET /admin/admin-dashboard 16.417 [Wed, 16 Nov 2022 11:43:03 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.165.27 GET /admin/admin-dashboard 17.945 [Wed, 16 Nov 2022 11:44:20 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
